threshold,score_mix_lambda,w_shortage,w_value,w_bb,w_trend,w_risk,shares,spent,cash,trades,avg_price
0.4,0.8,0.45,0.35,0.2,0.15,0.3,355,11570.43301486969,48429.56698513031,197,32.592769055970955
0.4,0.7,0.45,0.25,0.2,0.15,0.3,355,11412.926766395569,48587.07323360443,167,32.14908948280442
0.4,0.7,0.45,0.45,0.2,0.05,0.1,354,11800.173546791077,48199.82645320892,162,33.333823578505864
0.5,0.6,0.45,0.45,0.15,0.15,0.1,354,10695.402083396912,49304.59791660309,153,30.213000235584495
0.45,0.8,0.45,0.35,0.15,0.15,0.1,354,10270.365023612976,49729.634976387024,220,29.0123305751779
0.4,0.7,0.45,0.45,0.2,0.1,0.3,352,11873.512089729309,48126.48791027069,162,33.73156843673099
0.45,0.7,0.45,0.35,0.2,0.15,0.2,352,11548.352543830872,48451.64745616913,162,32.807819726792246
0.4,0.8,0.35,0.45,0.2,0.15,0.2,351,13022.709444999695,46977.290555000305,203,37.10173631054044
0.4,0.6,0.35,0.45,0.2,0.1,0.1,351,12801.631260871887,47198.36873912811,152,36.47188393410794
0.4,0.7,0.45,0.35,0.2,0.1,0.2,351,11495.492726325989,48504.50727367401,163,32.75069152799427
0.45,0.6,0.45,0.45,0.15,0.1,0.1,351,10689.938334465027,49310.06166553497,155,30.455664770555632
0.4,0.6,0.45,0.25,0.15,0.15,0.3,351,10505.856209754944,49494.143790245056,160,29.93121427280611
0.4,0.8,0.45,0.35,0.15,0.1,0.1,351,10275.01511478424,49724.98488521576,225,29.27354733556764
0.4,0.6,0.35,0.35,0.2,0.15,0.2,350,12726.13492488861,47273.86507511139,156,36.36038549968175
0.45,0.8,0.45,0.45,0.15,0.15,0.2,350,11125.005729675293,48874.99427032471,204,31.785730656215122
0.45,0.6,0.45,0.45,0.15,0.15,0.3,350,11093.356101989746,48906.643898010254,154,31.69530314854213
0.4,0.6,0.45,0.45,0.15,0.1,0.3,349,11153.353646278381,48846.64635372162,155,31.958033370425163
0.4,0.6,0.45,0.45,0.15,0.05,0.1,349,10608.778338432312,49391.22166156769,155,30.39764566886049
0.4,0.6,0.45,0.25,0.2,0.1,0.1,349,10131.19833278656,49868.80166721344,157,29.029221583915646
0.45,0.6,0.45,0.25,0.2,0.15,0.1,349,10131.19833278656,49868.80166721344,157,29.029221583915646
0.45,0.7,0.35,0.45,0.2,0.15,0.1,348,12667.499718666077,47332.50028133392,155,36.400861260534704
0.5,0.7,0.45,0.45,0.15,0.15,0.1,348,10739.091403007507,49260.90859699249,157,30.859458054619274
0.4,0.6,0.35,0.25,0.2,0.15,0.1,347,12221.553275108337,47778.44672489166,156,35.22061462567244
0.4,0.8,0.35,0.35,0.15,0.15,0.1,347,11563.712619781494,48436.287380218506,228,33.32482022991785
0.4,0.8,0.45,0.45,0.15,0.1,0.2,347,11044.571802139282,48955.42819786072,206,31.828737181957585
0.4,0.8,0.45,0.35,0.1,0.1,0.1,347,10081.28510761261,49918.71489238739,227,29.05269483461847
0.45,0.8,0.45,0.35,0.1,0.15,0.1,347,10022.16564655304,49977.83435344696,223,28.88232174799147
0.4,0.7,0.35,0.45,0.2,0.15,0.3,346,12813.149403572083,47186.85059642792,159,37.03222370974591
0.4,0.8,0.45,0.35,0.15,0.15,0.3,346,10590.639640808105,49409.360359191895,192,30.60878508904077
0.45,0.7,0.45,0.25,0.2,0.15,0.1,346,10038.496373176575,49961.503626823425,159,29.01299529819819
0.4,0.7,0.35,0.45,0.2,0.1,0.1,345,12559.618790626526,47440.381209373474,156,36.40469214674356
0.45,0.7,0.45,0.45,0.15,0.1,0.1,345,10661.401375770569,49338.59862422943,158,30.902612683392952
0.45,0.6,0.45,0.45,0.1,0.1,0.1,345,10380.799918174744,49619.200081825256,154,30.089275125144184
0.5,0.6,0.45,0.45,0.1,0.15,0.1,345,10347.004740715027,49652.99525928497,152,29.991318089029065
0.4,0.7,0.45,0.25,0.2,0.1,0.1,345,9972.40685749054,50027.59314250946,159,28.905527123160983
0.4,0.8,0.45,0.25,0.15,0.15,0.2,345,9938.642292022705,50061.357707977295,206,28.807658817457117
0.45,0.6,0.45,0.25,0.15,0.15,0.1,345,9810.982100486755,50189.017899513245,157,28.437629276773205
0.45,0.6,0.35,0.45,0.15,0.15,0.1,344,11967.60791683197,48032.39208316803,150,34.78955789776735
0.4,0.7,0.45,0.45,0.15,0.1,0.3,344,10967.447337150574,49032.552662849426,160,31.8821143521819
0.4,0.7,0.45,0.45,0.15,0.05,0.1,344,10591.065999984741,49408.93400001526,159,30.787982558095177
0.4,0.6,0.45,0.45,0.1,0.05,0.1,344,10357.173476219177,49642.82652378082,154,30.1080624308697
0.4,0.6,0.45,0.25,0.15,0.1,0.1,344,9764.692118644714,50235.307881355286,157,28.38573290303696
